State,Deaths
Tennessee,709.0
Michigan,434.0
California,386.0
Indiana,350.0
Ohio,329.0
New Jersey,315.0
South Carolina,281.0
Illinois,274.0
Texas,225.0
Florida,194.0
Maryland,181.0
Wisconsin,170.0
Virginia,162.0
New York,117.0
Iowa,92.0
North Carolina,92.0
Colorado,86.0
Washington,85.0
Massachusetts,79.0
Kentucky,76.0
Louisiana,76.0
Alabama,68.0
Idaho,67.0
Nevada,64.0
Oregon,64.0
Maine,62.0
Hawaii,60.0
Utah,52.0
Minnesota,50.0
Arkansas,50.0
West Virginia,36.0
New Mexico,35.0
Nebraska,33.0
Mississippi,29.0
New Hampshire,25.0
Vermont,24.0
South Dakota,23.0
Delaware,23.0
Wyoming,14.0
Montana,5.0
