State,Deaths
California,427.0
Ohio,375.0
Illinois,279.0
Georgia,274.0
New York,260.0
Tennessee,260.0
Texas,256.0
Connecticut,201.0
North Carolina,180.0
Louisiana,179.0
Oregon,176.0
Michigan,165.0
Alabama,157.0
Maryland,153.0
Iowa,129.0
Mississippi,124.0
New Jersey,122.0
Arizona,121.0
Colorado,111.0
Wisconsin,101.0
Minnesota,98.0
Virginia,77.0
Kansas,73.0
New York City,64.0
Oklahoma,51.0
Arkansas,48.0
Hawaii,47.0
South Carolina,47.0
West Virginia,40.0
New Mexico,39.0
Montana,36.0
North Dakota,28.0
Nevada,21.0
Maine,20.0
Wyoming,18.0
Delaware,17.0
Utah,15.0
New Hampshire,14.0
Idaho,11.0
Alaska,8.0
District of Columbia,7.0
Vermont,6.0
