State,Deaths
California,1841.0
Texas,1222.0
Florida,702.0
Ohio,472.0
Indiana,314.0
Maryland,276.0
Alabama,241.0
Missouri,209.0
Minnesota,208.0
Georgia,207.0
South Carolina,190.0
Pennsylvania,180.0
Kentucky,162.0
New York,141.0
Virginia,140.0
Iowa,128.0
Arkansas,108.0
North Carolina,108.0
West Virginia,104.0
New Mexico,99.0
Michigan,87.0
New York City,69.0
Washington,67.0
Arizona,62.0
Oklahoma,61.0
Oregon,60.0
Maine,60.0
Connecticut,38.0
Idaho,34.0
Colorado,34.0
Kansas,32.0
Rhode Island,25.0
Montana,20.0
Utah,19.0
New Hampshire,17.0
District of Columbia,14.0
Vermont,6.0
