State,Deaths
Michigan,500.0
Texas,460.0
Missouri,368.0
Georgia,351.0
Pennsylvania,345.0
Illinois,329.0
Ohio,283.0
Florida,198.0
South Carolina,194.0
Tennessee,185.0
Arkansas,167.0
Maryland,165.0
Alabama,152.0
New York,149.0
Colorado,131.0
Minnesota,125.0
Oklahoma,123.0
New Jersey,113.0
North Carolina,110.0
Arizona,104.0
New York City,101.0
Oregon,76.0
Indiana,74.0
Washington,72.0
Kansas,70.0
Louisiana,49.0
Hawaii,46.0
Iowa,44.0
South Dakota,41.0
Maine,37.0
Idaho,36.0
Utah,34.0
Nebraska,34.0
District of Columbia,28.0
Montana,25.0
Vermont,25.0
Nevada,22.0
Delaware,21.0
New Mexico,21.0
North Dakota,8.0
Alaska,8.0
