State,Deaths
California,546.0
Texas,480.0
Maryland,330.0
North Carolina,320.0
Virginia,298.0
Tennessee,288.0
Minnesota,269.0
Alabama,262.0
Indiana,260.0
Florida,183.0
Arizona,172.0
New Jersey,161.0
Ohio,151.0
South Carolina,143.0
Mississippi,140.0
Oklahoma,117.0
Iowa,102.0
New York City,100.0
Connecticut,84.0
Nebraska,74.0
Massachusetts,71.0
Colorado,68.0
Missouri,68.0
Kansas,65.0
Maine,44.0
Wisconsin,42.0
Oregon,41.0
Nevada,30.0
West Virginia,29.0
South Dakota,29.0
New Hampshire,28.0
Hawaii,23.0
New Mexico,22.0
Vermont,20.0
District of Columbia,19.0
Idaho,15.0
Utah,15.0
Rhode Island,13.0
Montana,9.0
Wyoming,7.0
