State,Deaths
New Jersey,274.0
Pennsylvania,269.0
Massachusetts,228.0
Maryland,219.0
Florida,212.0
Alabama,210.0
Tennessee,210.0
Wisconsin,198.0
Kentucky,180.0
Virginia,172.0
New York,132.0
Washington,126.0
Mississippi,115.0
Louisiana,110.0
Arkansas,109.0
North Carolina,109.0
Connecticut,106.0
West Virginia,91.0
Michigan,85.0
New York City,77.0
Minnesota,59.0
Missouri,57.0
Idaho,56.0
Nevada,53.0
Hawaii,49.0
South Carolina,49.0
New Mexico,46.0
Oregon,46.0
Colorado,46.0
Rhode Island,41.0
Kansas,37.0
Iowa,29.0
Maine,20.0
District of Columbia,20.0
Vermont,19.0
New Hampshire,18.0
Utah,18.0
Delaware,15.0
Alaska,10.0
South Dakota,9.0
Montana,8.0
North Dakota,4.0
