State,Deaths
California,1541.0
Ohio,509.0
Illinois,493.0
Michigan,385.0
Maryland,379.0
Wisconsin,325.0
New York,314.0
Colorado,298.0
Texas,270.0
Georgia,226.0
Kentucky,224.0
Massachusetts,219.0
Indiana,207.0
Oklahoma,144.0
Tennessee,119.0
Alabama,116.0
North Carolina,112.0
Washington,97.0
Kansas,81.0
Mississippi,74.0
Virginia,73.0
Hawaii,64.0
Utah,59.0
Arkansas,54.0
Maine,43.0
West Virginia,40.0
South Dakota,39.0
Iowa,36.0
New Hampshire,31.0
Oregon,27.0
Nebraska,22.0
District of Columbia,22.0
Montana,19.0
Idaho,17.0
Rhode Island,14.0
North Dakota,12.0
New Mexico,12.0
Alaska,11.0
Delaware,6.0
