State,Deaths
California,2091.0
Pennsylvania,649.0
Georgia,575.0
Ohio,538.0
Illinois,532.0
Texas,438.0
Florida,360.0
Maryland,265.0
Virginia,206.0
New York,190.0
Iowa,188.0
Michigan,182.0
Louisiana,177.0
Tennessee,171.0
New York City,164.0
New Mexico,120.0
South Carolina,116.0
North Carolina,115.0
Minnesota,113.0
Kentucky,111.0
Arizona,105.0
Massachusetts,87.0
Alabama,85.0
Arkansas,78.0
Washington,75.0
West Virginia,70.0
Missouri,65.0
Nebraska,60.0
Connecticut,52.0
Oklahoma,52.0
Wisconsin,47.0
Hawaii,46.0
Maine,44.0
Mississippi,41.0
South Dakota,35.0
North Dakota,29.0
Utah,28.0
Montana,25.0
Delaware,23.0
New Hampshire,19.0
Wyoming,8.0
Alaska,6.0
